"구분(1)",구분(2),구분(3),구분(4),2023.07,2023.08,2023.09,2023.10,2023.11,2023.12
"도시대기",경기,수원,영통동,29,24,24,33,32,36
"도시대기",경기,수원,천천동,28,24,23,29,30,45**
"도시대기",경기,수원,고색동,39,30,29,39,38,45
"도시대기",경기,수원,호매실동,28,24,23,27,28,33
"도시대기",경기,안양,안양8동,27,21,21,29,30,34
"도시대기",경기,안양,부림동,24,27,29,36,37,40
"도시대기",경기,안양,호계동,25,22,22,31,34,39
"도시대기",경기,안양,안양2동,27,24,23,31,33,39
"도시대기",경기,성남,단대동,27,23,22,27,28,36
"도시대기",경기,성남,정자동,22,19,18,24,29,36
"도시대기",경기,성남,수내동,28,23,21,26,29,36
"도시대기",경기,성남,복정동,30,26,26,29,29,36
"도시대기",경기,성남,상대원동,23,20,20,27,31,35
"도시대기",경기,성남,운중동,22,19,18,25,28,36
"도시대기",경기,의정부,의정부동,28,22,22,28,30,37
"도시대기",경기,의정부,의정부1동,28*,22,23,30,32,38
"도시대기",경기,의정부,송산3동,31,23,22,24,27,34
"도시대기",경기,광명,철산동,24,21,23,31,34,40
"도시대기",경기,광명,소하동,27,24,24,33,36,42
"도시대기",경기,안산,고잔동,25,21,20,25,26,29
"도시대기",경기,안산,원시동,35,29,31,43,47,49
"도시대기",경기,안산,본오동,25,24,23,31,34,41
"도시대기",경기,안산,원곡동,38,30,23,34,35,40
"도시대기",경기,안산,부곡동,24,21,21,28,31,36
"도시대기",경기,안산,대부동,24,21,19,28,29,34
"도시대기",경기,안산,호수동,25,22,22,29,32,36
"도시대기",경기,평택,비전동,33,31,32,45,39,43
"도시대기",경기,평택,안중,31,30,31,44,37,41
"도시대기",경기,평택,평택항,31,29,29,42,38,42
"도시대기",경기,평택,송북동,31,28,28,39,37,42
"도시대기",경기,평택,청북읍,28,26,27,37,32,38
"도시대기",경기,평택,고덕동,31,27,27,39,34,38
"도시대기",경기,과천,별양동,25,21,21,28,30,37
"도시대기",경기,과천,과천동,28,23,23,27,30,-
"도시대기",경기,구리,교문동,29,24,22,28,30,34
"도시대기",경기,구리,동구동,23,17,17,24,28,34
"도시대기",경기,의왕,부곡3동,28,26,24,30,30,35
"도시대기",경기,의왕,고천동,22,20,20,25,29,36
"도시대기",경기,고양,행신동,28,23,23,29,29,33
"도시대기",경기,고양,식사동,30,26,29,36,34,40
"도시대기",경기,고양,신원동,31,25,25,33,35,40
"도시대기",경기,고양,주엽동,27,24,26,32,30,35
"도시대기",경기,광주,경안동,30,24,24,32,37,42
"도시대기",경기,광주,오포1동,25,21,22,29,35,40
"도시대기",경기,광주,곤지암,25,20,20,32,37,44
"도시대기",경기,군포,당동,29,25,26,35,35,40
"도시대기",경기,군포,산본동,25,21,22,30,31,33
"도시대기",경기,시흥,정왕동,29,24,26,37,34,37
"도시대기",경기,시흥,시화산단,30,27,28,41,38,45
"도시대기",경기,시흥,대야동,27,23,23,29,31,40
"도시대기",경기,시흥,목감동,32,28,29,37,36,43
"도시대기",경기,시흥,장현동,28,24,26,33,33,37
"도시대기",경기,시흥,배곧동,25,23,27,40,38,43
"도시대기",경기,부천,소사본동,24,19,20,33,36,43
"도시대기",경기,부천,내동,24,19,22,35,37,44
"도시대기",경기,부천,중2동,24,20,22,32,33,39
"도시대기",경기,부천,오정1동,24,20,21,33,36,41
"도시대기",경기,남양주,금곡동,31,25,23,26,30,34
"도시대기",경기,남양주,오남읍,30,18**,-,30,36,45
"도시대기",경기,남양주,별내동,24,19,19,30,31,39
"도시대기",경기,남양주,화도읍,28,18,20,24**,-,34*
"도시대기",경기,남양주,와부읍,31,25,22,26,30,33
"도시대기",경기,남양주,진접읍,33,26,23,28,31,38
"도시대기",경기,용인,김량장동,22,19,20,32,36,43
"도시대기",경기,용인,수지,26,20,20,28,32,41
"도시대기",경기,용인,기흥,24,21,22,30,32,40
"도시대기",경기,용인,모현읍,29,26,25,33,39,45
"도시대기",경기,용인,이동읍,24,21,22,32,36,43
"도시대기",경기,용인,백암면,25,23,22,37,37,43
"도시대기",경기,김포,사우동,26,22,22,32,32,38
