"월","18시-20시","9월",322,3,429
"월","18시-20시","10월",434,2,612
"월","18시-20시","11월",390,4,530
"월","18시-20시","12월",340,2,459
"월","20시-22시","전체",2543,40,3607
"월","20시-22시","1월",305,3,456
"월","20시-22시","2월",188,1,253
"월","20시-22시","3월",127,2,173
"월","20시-22시","4월",187,1,292
"월","20시-22시","5월",242,2,330
"월","20시-22시","6월",195,6,275
"월","20시-22시","7월",188,0,265
"월","20시-22시","8월",245,5,340
"월","20시-22시","9월",224,5,310
"월","20시-22시","10월",214,4,307
"월","20시-22시","11월",224,2,337
"월","20시-22시","12월",204,9,269
"월","22시-24시","전체",1680,26,2364
"월","22시-24시","1월",132,4,180
"월","22시-24시","2월",130,2,172
"월","22시-24시","3월",136,1,184
"월","22시-24시","4월",143,3,215
"월","22시-24시","5월",171,4,246
"월","22시-24시","6월",113,2,172
"월","22시-24시","7월",120,1,165
"월","22시-24시","8월",188,3,248
"월","22시-24시","9월",140,1,209
"월","22시-24시","10월",167,2,235
"월","22시-24시","11월",127,2,165
"월","22시-24시","12월",113,1,173
"화","00시-02시","전체",773,26,1140
"화","00시-02시","1월",37,4,45
"화","00시-02시","2월",36,4,59
"화","00시-02시","3월",34,1,54
"화","00시-02시","4월",94,1,157
"화","00시-02시","5월",78,4,110
"화","00시-02시","6월",52,1,77
"화","00시-02시","7월",65,2,87
"화","00시-02시","8월",102,2,140
"화","00시-02시","9월",66,2,97
"화","00시-02시","10월",62,1,98
"화","00시-02시","11월",92,4,134
"화","00시-02시","12월",55,0,82
"화","02시-04시","전체",421,15,598
"화","02시-04시","1월",14,0,19
"화","02시-04시","2월",9,1,10
"화","02시-04시","3월",26,0,33
"화","02시-04시","4월",45,2,62
"화","02시-04시","5월",46,0,73
"화","02시-04시","6월",37,2,56
"화","02시-04시","7월",35,1,47
"화","02시-04시","8월",53,2,71
"화","02시-04시","9월",46,2,69
"화","02시-04시","10월",28,1,40
"화","02시-04시","11월",41,2,63
"화","02시-04시","12월",41,2,55
"화","04시-06시","전체",578,31,747
"화","04시-06시","1월",34,3,45
"화","04시-06시","2월",29,2,34
"화","04시-06시","3월",47,3,60
"화","04시-06시","4월",47,4,56
"화","04시-06시","5월",52,3,77
"화","04시-06시","6월",36,0,47
"화","04시-06시","7월",56,5,67
"화","04시-06시","8월",67,4,97
"화","04시-06시","9월",44,3,57
"화","04시-06시","10월",56,2,71
"화","04시-06시","11월",66,1,87
"화","04시-06시","12월",44,1,49
"화","06시-08시","전체",1767,48,2401
"화","06시-08시","1월",165,2,206
"화","06시-08시","2월",99,3,143
"화","06시-08시","3월",104,3,149
"화","06시-08시","4월",132,6,183
"화","06시-08시","5월",179,4,264
"화","06시-08시","6월",141,4,176
"화","06시-08시","7월",134,4,162
"화","06시-08시","8월",142,3,199
"화","06시-08시","9월",126,5,152
"화","06시-08시","10월",152,3,212
"화","06시-08시","11월",224,5,324
"화","06시-08시","12월",169,6,231
"화","08시-10시","전체",3516,32,4771
"화","08시-10시","1월",240,1,318
"화","08시-10시","2월",165,0,227
"화","08시-10시","3월",229,3,306
"화","08시-10시","4월",287,4,417
"화","08시-10시","5월",434,4,571
"화","08시-10시","6월",320,3,432
"화","08시-10시","7월",275,1,377
"화","08시-10시","8월",298,3,402
"화","08시-10시","9월",266,2,333
"화","08시-10시","10월",326,3,439
"화","08시-10시","11월",347,5,457
"화","08시-10시","12월",329,3,492
"화","10시-12시","전체",2986,32,4234
"화","10시-12시","1월",229,1,328
"화","10시-12시","2월",163,4,254
"화","10시-12시","3월",246,2,345
"화","10시-12시","4월",254,2,360
"화","10시-12시","5월",331,6,460
"화","10시-12시","6월",222,4,321
"화","10시-12시","7월",236,3,350
"화","10시-12시","8월",292,2,393
"화","10시-12시","9월",225,2,312
"화","10시-12시","10월",259,3,381
"화","10시-12시","11월",290,2,386
"화","10시-12시","12월",239,1,344
"화","12시-14시","전체",3086,38,4241
"화","12시-14시","1월",263,1,364
"화","12시-14시","2월",205,1,307
"화","12시-14시","3월",255,2,380
"화","12시-14시","4월",241,2,329
"화","12시-14시","5월",317,5,425
"화","12시-14시","6월",235,3,328
"화","12시-14시","7월",221,3,315
"화","12시-14시","8월",320,3,462
"화","12시-14시","9월",245,4,310
"화","12시-14시","10월",255,7,333
"화","12시-14시","11월",318,5,402
"화","12시-14시","12월",211,2,286
"화","14시-16시","전체",3350,44,4705
"화","14시-16시","1월",260,2,347
"화","14시-16시","2월",203,0,308
"화","14시-16시","3월",258,6,354
"화","14시-16시","4월",224,1,305
"화","14시-16시","5월",369,2,504
"화","14시-16시","6월",264,3,363
"화","14시-16시","7월",289,5,389
"화","14시-16시","8월",309,3,461
"화","14시-16시","9월",274,4,384
"화","14시-16시","10월",327,1,468
"화","14시-16시","11월",317,10,443
"화","14시-16시","12월",256,7,379
"화","16시-18시","전체",3980,51,5550
"화","16시-18시","1월",245,8,349
"화","16시-18시","2월",198,0,299
"화","16시-18시","3월",344,5,498
"화","16시-18시","4월",295,2,398
"화","16시-18시","5월",454,4,603
"화","16시-18시","6월",317,2,440
"화","16시-18시","7월",296,3,440
"화","16시-18시","8월",393,6,535
"화","16시-18시","9월",342,6,488
"화","16시-18시","10월",349,5,492
"화","16시-18시","11월",424,5,559
"화","16시-18시","12월",323,5,449
"화","18시-20시","전체",4002,44,5488
"화","18시-20시","1월",384,4,511
"화","18시-20시","2월",265,2,372
"화","18시-20시","3월",318,1,438
"화","18시-20시","4월",267,2,349
"화","18시-20시","5월",364,3,490
"화","18시-20시","6월",270,4,359
"화","18시-20시","7월",260,3,371
"화","18시-20시","8월",340,1,499
"화","18시-20시","9월",343,6,470
"화","18시-20시","10월",367,7,490
"화","18시-20시","11월",486,8,661
"화","18시-20시","12월",338,3,478
"화","20시-22시","전체",2608,31,3602
"화","20시-22시","1월",277,1,391
"화","20시-22시","2월",194,0,289
"화","20시-22시","3월",182,3,253
"화","20시-22시","4월",187,2,255
"화","20시-22시","5월",253,5,330
"화","20시-22시","6월",221,3,297
"화","20시-22시","7월",194,2,256
"화","20시-22시","8월",236,3,329
"화","20시-22시","9월",211,2,302
"화","20시-22시","10월",213,4,288
"화","20시-22시","11월",244,4,322
"화","20시-22시","12월",196,2,290
"화","22시-24시","전체",1737,27,2454
"화","22시-24시","1월",117,1,164
"화","22시-24시","2월",111,3,164
"화","22시-24시","3월",169,2,243
"화","22시-24시","4월",145,3,191
"화","22시-24시","5월",180,7,266
"화","22시-24시","6월",141,1,197
"화","22시-24시","7월",127,2,170
"화","22시-24시","8월",181,5,256
"화","22시-24시","9월",140,0,207
"화","22시-24시","10월",109,1,160
"화","22시-24시","11월",155,0,211
"화","22시-24시","12월",162,2,225
"수","00시-02시","전체",894,25,1249
"수","00시-02시","1월",39,0,66
"수","00시-02시","2월",35,2,54
"수","00시-02시","3월",69,1,103
"수","00시-02시","4월",78,1,107
"수","00시-02시","5월",80,2,110
"수","00시-02시","6월",125,3,182
"수","00시-02시","7월",73,5,101
"수","00시-02시","8월",129,3,176
"수","00시-02시","9월",56,1,78
"수","00시-02시","10월",75,4,97
"수","00시-02시","11월",68,0,88
"수","00시-02시","12월",67,3,87
"수","02시-04시","전체",411,19,553
"수","02시-04시","1월",11,0,13
"수","02시-04시","2월",13,2,17
"수","02시-04시","3월",30,1,39
"수","02시-04시","4월",28,5,36
"수","02시-04시","5월",38,1,49
"수","02시-04시","6월",67,2,81
"수","02시-04시","7월",30,3,40
"수","02시-04시","8월",52,2,76
"수","02시-04시","9월",42,0,72
"수","02시-04시","10월",26,2,29
"수","02시-04시","11월",40,1,57
"수","02시-04시","12월",34,0,44
"수","04시-06시","전체",630,30,824
"수","04시-06시","1월",49,5,65
"수","04시-06시","2월",30,4,36
"수","04시-06시","3월",49,1,60
"수","04시-06시","4월",43,2,54
"수","04시-06시","5월",52,1,70
"수","04시-06시","6월",62,2,95
